,Date,縣市,人口差
1,2007-04-01,高雄市,86.0
2,2007-05-01,高雄市,149.0
3,2007-06-01,高雄市,625.0
4,2007-07-01,高雄市,983.0
5,2007-08-01,高雄市,715.0
6,2007-09-01,高雄市,417.0
7,2007-10-01,高雄市,587.0
8,2007-11-01,高雄市,689.0
9,2007-12-01,高雄市,1080.0
10,2008-01-01,高雄市,412.0
11,2008-02-01,高雄市,447.0
12,2008-03-01,高雄市,57.0
13,2008-04-01,高雄市,22.0
14,2008-05-01,高雄市,42.0
15,2008-06-01,高雄市,495.0
16,2008-07-01,高雄市,306.0
17,2008-08-01,高雄市,106.0
18,2008-09-01,高雄市,-17.0
19,2008-10-01,高雄市,620.0
20,2008-11-01,高雄市,985.0
21,2008-12-01,高雄市,711.0
22,2009-01-01,高雄市,812.0
23,2009-02-01,高雄市,-73.0
24,2009-03-01,高雄市,257.0
25,2009-04-01,高雄市,-536.0
26,2009-05-01,高雄市,-327.0
27,2009-06-01,高雄市,-115.0
28,2009-07-01,高雄市,342.0
29,2009-08-01,高雄市,-672.0
30,2009-09-01,高雄市,-25.0
31,2009-10-01,高雄市,753.0
32,2009-11-01,高雄市,735.0
33,2009-12-01,高雄市,682.0
34,2010-01-01,高雄市,102.0
35,2010-02-01,高雄市,106.0
36,2010-03-01,高雄市,196.0
37,2010-04-01,高雄市,189.0
38,2010-05-01,高雄市,185.0
39,2010-06-01,高雄市,-983.0
40,2010-07-01,高雄市,1667.0
41,2010-08-01,高雄市,519.0
42,2010-09-01,高雄市,-91.0
43,2010-10-01,高雄市,215.0
44,2010-11-01,高雄市,600.0
45,2010-12-01,高雄市,-109.0
46,2011-01-01,高雄市,-50.0
47,2011-02-01,高雄市,-504.0
48,2011-03-01,高雄市,-95.0
49,2011-04-01,高雄市,147.0
50,2011-05-01,高雄市,-131.0
51,2011-06-01,高雄市,-389.0
52,2011-07-01,高雄市,186.0
53,2011-08-01,高雄市,191.0
54,2011-09-01,高雄市,319.0
55,2011-10-01,高雄市,369.0
56,2011-11-01,高雄市,329.0
57,2011-12-01,高雄市,615.0
58,2012-01-01,高雄市,455.0
59,2012-02-01,高雄市,-94.0
60,2012-03-01,高雄市,-245.0
61,2012-04-01,高雄市,63.0
62,2012-05-01,高雄市,81.0
63,2012-06-01,高雄市,752.0
64,2012-07-01,高雄市,252.0
65,2012-08-01,高雄市,470.0
66,2012-09-01,高雄市,346.0
67,2012-10-01,高雄市,578.0
68,2012-11-01,高雄市,769.0
69,2012-12-01,高雄市,762.0
70,2013-01-01,高雄市,139.0
71,2013-02-01,高雄市,298.0
72,2013-03-01,高雄市,-160.0
73,2013-04-01,高雄市,-143.0
74,2013-05-01,高雄市,127.0
75,2013-06-01,高雄市,172.0
76,2013-07-01,高雄市,324.0
77,2013-08-01,高雄市,32.0
78,2013-09-01,高雄市,-202.0
79,2013-10-01,高雄市,181.0
80,2013-11-01,高雄市,136.0
81,2013-12-01,高雄市,314.0
82,2014-01-01,高雄市,-87.0
83,2014-02-01,高雄市,-137.0
84,2014-03-01,高雄市,-984.0
85,2014-04-01,高雄市,-537.0
86,2014-05-01,高雄市,-717.0
87,2014-06-01,高雄市,-119.0
88,2014-07-01,高雄市,-56.0
89,2014-08-01,高雄市,78.0
90,2014-09-01,高雄市,143.0
91,2014-10-01,高雄市,312.0
92,2014-11-01,高雄市,382.0
93,2014-12-01,高雄市,837.0
94,2015-01-01,高雄市,363.0
95,2015-02-01,高雄市,172.0
96,2015-03-01,高雄市,-391.0
97,2015-04-01,高雄市,-222.0
98,2015-05-01,高雄市,-121.0
99,2015-06-01,高雄市,42.0
100,2015-07-01,高雄市,-559.0
101,2015-08-01,高雄市,-328.0
102,2015-09-01,高雄市,-78.0
103,2015-10-01,高雄市,379.0
104,2015-11-01,高雄市,263.0
105,2015-12-01,高雄市,406.0
106,2016-01-01,高雄市,-189.0
107,2016-02-01,高雄市,-155.0
108,2016-03-01,高雄市,-334.0
109,2016-04-01,高雄市,-133.0
